,Unnamed: 0,enrollee_id,city,city_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,Additional Info,Approval
0,0,32403,41,0.8270000000000001,Male,Has relevent experience,Full time course,Graduate,STEM,9.0, 10,,1.0,21,"To prove myself dedicated, worthy and energetic in a progressive organization that gives me chance to apply my knowledge and skills, and be a member of a team that dynamically work towards the growth of the organization.",2
1,1,9858,103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,5.0,,Pvt Ltd,1.0,98,Working as Software Developer at IngroInfo Software Solutions Pvt. Ltd.,2
2,2,31806,21,0.624,Male,No relevent experience,no_enrollment,High School,,1.0,,Pvt Ltd,0.0,15,"Looking for a challenging career which demands the best of my professional 
ability in terms of technical and analytical skills, and helps me in broadening 
and enhancing my current skill and knowledge. 
 
Programming language: Java",2
3,3,27385,13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,11.0,10/49,Pvt Ltd,1.0,39,NONE,2
4,4,27724,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,10000+,Pvt Ltd,4.0,72,NONE,1
5,5,217,23,0.899,Male,No relevent experience,Part time course,Masters,STEM,10.0,,,2.0,12,NONE,2
6,6,21465,21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,1.0,100-500,Pvt Ltd,1.0,11,"To secure a challenging position where I can effectively contribute my skills as Software Professional, possessing competent 
Technical Skills.",2
7,7,27302,160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,20.0,,,4.0,81,NONE,1
8,8,12994,173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,14.0,,,4.0,2, Obtain a challenging position where my resourceful experience and academic skills will add value to an organization for an effective and positive result.,2
9,9,16287,21,0.624,Male,Has relevent experience,Full time course,Graduate,,3.0,50-99,Funded Startup,1.0,4,"Attain the position of 'Java Developer' in fast growing organization, that offering technical 
expertise to utilize in software development, which helps me to succeed in an environment 
of excellence.",2
10,10,10856,103,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,20.0,,,4.0,196,"Father Name Sh. Hans Raj 
 
Optimistic Approach 
Con dent, Flexibility. 
Adaptive to the Environment. 
Highly motivated 
Enthusiastic and capable of working on own initiative 
 
DECLARATION 
 
I hereby declare that the above-mentioned information is correct up to my knowledge and I bear the responsibility for the correctness of 
the above-mentioned particulars.",1
11,11,9272,90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,10/49,Pvt Ltd,2.0,51," The ability to Work in a team. 
 Leadership Qualities. 
 Hardworking with lots of patience. 
 Organizing Capabilities. 
 Positive Attitude. 
 Self confidence.",2
12,12,14249,46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,8.0,100-500,Other,0.0,48," Knowledgeable with Core Java implementation of web based application Using J2SE, J2EE. 
 Having Knowledge on implementing MVC architecture 
 Having Knowledge in using and implementing Design Patterns (Singleton, Strategy, Factory, 
MVC) 
 Having knowledge in Object Oriented Programming 
 Working experience in Apache Tomcat 
 Working exposure on IDEs like Eclipse, My Eclipse and STS 
 Having knowledge in SDLC and STLC phases",2
13,13,24372,98,0.9490000000000001,,Has relevent experience,no_enrollment,Masters,STEM,4.0,100-500,Pvt Ltd,1.0,134,NONE,2
14,14,14070,103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,5.0,,,0.0,10,NONE,2
15,15,24914,21,0.624,,Has relevent experience,Full time course,Graduate,STEM,13.0,1000-4999,Pvt Ltd,1.0,125,NONE,2
16,16,7865,21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,4.0,100-500,Pvt Ltd,1.0,4,NONE,2
17,17,7463,13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,Business Degree,2.0,50-99,Pvt Ltd,1.0,31,NONE,2
18,18,21514,21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,6.0,,Pvt Ltd,4.0,23,"Skilled Java Developer with 5 years of experience in solving customer problems, improving usability and maximizing efficiency. Ability to work effectively in cross-functional team environments and supporting business users. Highly motivated, detail oriented, has ability to work independently and as a part of the team with Excellent Technical, Analytical and Communication skills, created various documentations for applications and shared a good rapport with the client/management and other team members. Good team player and flexible to adapt to the new tools, technologies required for the project with a steep learning curve. Multi-talented Frontend Developer successful at problem solving and conflict resolution.",2
19,19,29033,21,0.624,Male,No relevent experience,Full time course,,,2.0,,,0.0,110,"To be associated with a professionally managed organization and seeking a challenging 
position which utilizes my educational qualification and acquired capabilities, whereby my 
technical background and interpersonal skills can be applied and fully developed within 
teamwork.",2
20,20,15359,103,0.92,,No relevent experience,Full time course,Graduate,STEM,2.0,,,0.0,74,"Teamwork Goal Oriented Interpersonal Skills Ambitious Strong work-ethic 
 
A hard working and diligent individual intend to be a part of an organization where I can make 
best use of my technical skills for the growth of the company while consistently learning and 
developing my knowledge",2
21,21,16001,103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,7.0,10000+,,1.0,44,Seeking a position to utilize my skills and abilities in your organization that offers professional growth and allows me to be resourceful and innovative.,2
22,22,25202,21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6.0,1000-4999,Pvt Ltd,3.0,33,NONE,2
23,23,5058,103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,1.0,,,1.0,81,NONE,2
24,24,23570,118,0.722,Male,Has relevent experience,no_enrollment,Graduate,STEM,19.0,100-500,Pvt Ltd,4.0,19,"My Recent Objective is to work with the company, where I can contribute My Excellence 
And to be in the position to contribute for the companies Objective.",2
25,25,19139,103,0.92,Female,Has relevent experience,Part time course,Graduate,STEM,15.0,,Public Sector,4.0,48,"Adaptable recent college graduate with a master of computer applications (6.84 GPA). 
Aiming to leverage acquired academic knowledge and proven communication, analytical, and 
critical thinking skills to successfully fill the java developer role at your company. Frequently 
praised as hard-working by my peers, I can be relied upon to help your company achieve its goals.",2
26,26,9548,114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,20.0,50-99,Pvt Ltd,4.0,65,NONE,1
27,27,8799,103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,6.0,,Public Sector,1.0,46,NONE,2
28,28,11113,134,0.698,,Has relevent experience,no_enrollment,Masters,STEM,16.0,,Pvt Ltd,1.0,78,NONE,1
29,29,19437,21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,3.0,10/49,Pvt Ltd,,105,NONE,2
30,30,394,73,0.754,,Has relevent experience,Full time course,Graduate,STEM,5.0,50-99,Pvt Ltd,1.0,29," A detail oriented and multitasking professional with exceptional coding techniques 
having bachelor of engineering degree in computer engineering. 
 Comprehensive knowledge of primary development languages for instance C, C++, 
JAVA and special talent of writing highly competent programs. 
 Excellent in presenting and make people understand. 
 
Personal Qualities: 
 
 Ability to work under pressure and under deadlines. 
 Good verbal and written communication skills. 
 Be a good team member. 
 Quick Learner.",2
31,31,7683,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5.0,,,1.0,10,NONE,2
32,32,22849,116,0.743,,Has relevent experience,no_enrollment,,,,50-99,Pvt Ltd,0.0,12,"My stated objective and focused approach is to work in an organization where I can acquire knowledge, fully utilizes my skills and get global work exposure.",2
33,33,17189,21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7.0,10000+,Pvt Ltd,4.0,43,"To work with utmost sincerity, punctuality and commitment for the organization 
where my talents will be encouraged and knowledge can be exchanged. 
MANJU RAJU 
Njarakulangara(H), 
KartikulamP.O, 
Mananthavady, Experience 
Wayanad.",2
34,34,28610,16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,20.0,50-99,Pvt Ltd,4.0,18,"To work in learning and challenging environment, utilize my skills and knowledge to be the best of 
my abilities and contribute positively to my personal growth as well as growth of my organization.",2
35,35,25608,165,0.903,,Has relevent experience,no_enrollment,Masters,STEM,17.0,50-99,Pvt Ltd,4.0,8,"To be part of an organization where I can contribute and progress. 
Branch: Computer Science & Engineering",2
36,36,22139,103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,20.0,100-500,Pvt Ltd,4.0,8,Core java,2
37,37,19644,61,0.9129999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,10000+,Pvt Ltd,4.0,145,"To work for an organization which provides me the opportunity to improve my skills and 
knowledge to growth along with the organization.",1
38,38,18517,21,0.624,,No relevent experience,Full time course,Masters,STEM,1.0,10/49,Pvt Ltd,1.0,22,"To obtain a Challenging and rewarding Software Developer position where a year of Experience as 
Java back-end developer and a degree in Computer science engineering will be fully utilized.",2
39,39,12835,136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,20.0, 10,Early Stage Startup,1.0,9," To best utilize my technical and entrepreneurial skills for achieving organizational objectives with 
great responsibility. 
 To be an innovative software engineer in a reputed organization..",2
40,40,20178,45,0.89,Male,Has relevent experience,no_enrollment,Masters,STEM,13.0,,Public Sector,1.0,20,Looking forward to join a reputed organization where I can enhance my knowledge and skills by working with complete honesty and dedication.,2
41,41,25855,103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Arts,4.0,50-99,Pvt Ltd,1.0,20,NONE,2
42,42,32126,160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16.0,100-500,Pvt Ltd,4.0,130,To secure a challenging position in my field of study where I can sharpen my skills to contribute for the growth of my company and for achieving a brighter career.,1
43,43,22753,104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,50-99,Pvt Ltd,2.0,3,"2 nov 2013 - 5 oct 2015 "" Java Developer"" in OmVsab IT Solutions Pvt.Ltd. 
Summary 
 Joined OmVsab IT Solutions as a software developer in nov, 2013 and have 1.5+ years total experience in IT including training period.",2
44,44,18133,103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,1.0,,,1.0,23,"A team player, hardworking and dedicated professional who wants to meet the challenges posed in the industry and to contribute towards the growth of the organization along with self-motivation.",2
